address,city,state,zipcode,size,price
51 Beach St, Boston, MA,2111, 1 bed / 1 bath ,"$2,650/mo"
151 Tremont St APT 8U, Boston, MA,2111, 1 bed / 1 bath / 740 sqft ,"$2,800/mo"
40-42 Beach St UNIT 5C, Boston, MA,2111, 1 bed / 1 bath / 756 sqft ,"$2,600/mo"
Tyler St, Boston, MA,2111, 1 bed / 1 bath ,"$1,795/mo"
Washington St, Boston, MA,2111, 1 bed / 1 bath / 715 sqft ,"$3,395/mo"
9 Harrison Ave, Boston, MA,2111, 1 bed / 1 bath / 510 sqft ,"$2,200/mo"
371 Hanover St APT 2, Boston, MA,2113, 1 bed / 1 bath / 680 sqft ,"$499,000 "
177 Endicott St APT 2, Boston, MA,2113, 2 beds / 1 bath / 715 sqft ,"$549,900 "
7 Stillman Pl UNIT 10, BOSTON, MA,2113, 2 beds / 1 bath / 746 sqft ,"$3,000/mo"
Stillman St, Boston, MA,2113, 1 bed / 1 bath / 600 sqft ,"$2,850/mo"
46 Lewis St APT 7, Boston, MA,2113, 1 bed / 1 bath / 407 sqft ,"$389,900 "
160 Salem St, Boston, MA,2113," 3 beds / 2 baths / 1,512 sqft","$895,500 "
5 Fleet St # 1, Boston, MA,2113, 1 bed / 1 bath ,"$1,625/mo"
22 Moon St, Boston, MA,2113," 2 beds / 1 bath / 4,658 sqft","$2,550,000 "
92 Endicott St APT 2, Boston, MA,2113, 3 beds / 1 bath / 800 sqft ,"$4,000/mo"
N Washington St, Boston, MA,2113," 3 beds / 2 baths / 2,215 sqft","$5,400/mo"
371 Hanover St APT 3, Boston, MA,2113, 1 bed / 1 bath / 680 sqft ,"$500,000 "
343 North St # 12, Boston, MA,2113, Studio / 1 bath,"$1,750/mo"
16 Charter St # 6, Boston, MA,2113,Studio / 1 bath,"$1,650/mo"
Charter St, Boston, MA,2113, 1 bed / 1 bath ,"$1,650/mo"
419 Hanover St APT 7, Boston, MA,2113, 2 beds / 1 bath / 700 sqft ,"$2,850/mo"
2 Baldwin Pl # 4L, Boston, MA,2113, 1 bed / 1 bath / 600 sqft ,"$1,950/mo"
Charter St, Boston, MA,2113, 1 bed / 1 bath ,"$1,650/mo"
163 Endicott St APT 2, Boston, MA,2113, 2 beds / 1 bath / 950 sqft ,"$3,100/mo"
20 Parmenter St, Boston, MA,2113," 2 beds / 2 baths / 1,344 sqft","$3,800/mo"
33 Sheafe St APT 3, Boston, MA,2113, 1 bed / 1 bath ,"$1,600/mo"
35 Mount Vernon St UNIT 4, Boston, MA,2108, 1 bed / 1 bath / 709 sqft ,"$599,000 "
36 Myrtle St APT 7, Boston, MA,2114, 2 beds / 1 bath / 657 sqft ,"$539,000 "
11 Irving St APT 6, Boston, MA,2114, 1 bed / 1 bath / 426 sqft ,"$2,300/mo"
10 Bowdoin St UNIT 314, Boston, MA,2114, 1 bed / 1 bath / 766 sqft ,"$695,000 "
45 Myrtle St, Boston, MA,2114, 2 beds / 1 bath / 864 sqft ,"$3,200/mo"
Bowdoin St, Boston, MA,2114, 1 bed / 1 bath ,"$2,300/mo"
N Anderson St, Boston, MA,2114, Studio / 1 bath,"$1,600/mo"
Bowdoin St, Boston, MA,2114, 1 bed / 1 bath ,"$2,600/mo"
94 Charles St # 5J, Boston, MA,2114, 1 bed / 1 bath ,"$3,500/mo"
Anderson St, Boston, MA,2114, 1 bed / 1 bath ,"$1,900/mo"
7 Staniford St # 8E, Boston, MA,2114, Studio / 1 bath / 610 sqft,"$1,850/mo"
9 Grove St APT 2, Boston, MA,2114, 3 beds / 2 baths ,"$3,660/mo"
41 N Anderson St # 22, Boston, MA,2114, Studio / 1 bath,"$1,650/mo"
Saint Botolph St, Boston, MA,2115, 1 bed / 1 bath / 700 sqft ,"$1,750/mo"
297 Commonwealth Ave APT 3, Boston, MA,2115," 2 beds / 2.5 baths / 3,080 sqft ","$4,750,000 "
341 Marlborough St APT 2, Boston, MA,2115," 3 beds / 3.5 baths / 2,860 sqft ","$4,775,000 "
Saint Botolph St, Boston, MA,2115, Studio / 1 bath,"$1,775/mo"
6 Gloucester St APT 3, Boston, MA,2115, 1 bed / 1 bath / 830 sqft ,"$629,000 "
Blackwood St, Boston, MA,2115, 1 bed / 1 bath ,"$1,675/mo"
Commonwealth Ave, Boston, MA,2115, Studio / 1 bath,"$1,575/mo"
Riverway, Boston, MA,2115," 3 beds / 1 bath / 1,307 sqft","$2,800/mo"
409 Marlborough St APT 36, Boston, MA,2115, Studio/ 1 bath,"$1,550/mo"
294 Newbury St UNIT 2B, Boston, MA,2115," 2 beds / 2 baths / 1,539 sqft","$7,150/mo"
Cumberland St, Boston, MA,2115, Studio / 1 bath,"$2,100/mo"
109 Saint Stephen St # B25, Boston, MA,2115, 3 beds / 1 bath ,"$3,100/mo"
Symphony Rd, Boston, MA,2115, 3 beds / 1 bath ,"$3,900/mo"
Fenway, Boston, MA,2115, 2 beds / 1 bath ,"$3,100/mo"
Huntington Ave, Boston, MA,2115, Studio / 1 bath,"$1,800/mo"
Hemenway St, Boston, MA,2115, 3 beds / 1 bath ,"$4,000/mo"
Fenway, Boston, MA,2115, 4 beds / 1 bath ,"$5,200/mo"
135 Clarendon St, Boston, MA,2116, 2 beds / 2 baths ,$6160/mo
160 Commonwealth Ave # 402, Boston, MA,2116," 2 beds / 2.5 baths / 1,624 sqft","$1,999,000 "
18 Piedmont St # 1, Boston, MA,2116," 2 beds / 2 baths / 2,100 sqft","$6,500/mo"
30 Fayette St # 1, Boston, MA,2116, Studio / 1 bath / 575 sqft,"$1,900/mo"
1 Marlborough St APT 4, Boston, MA,2116," 2 beds / 2 baths / 1,225 sqft","$6,700/mo"
9 Harcourt St APT 302, Boston, MA,2116," 2 beds / 2 baths / 1,081 sqft","$1,890,000 "
123 Commonwealth Ave APT 5, Boston, MA,2116, Studio / 1 bath / 450 sqft,"$2,150/mo"
142 Marlborough St # 1, Boston, MA,2116, 1 bed / 1 bath / 900 sqft ,"$3,500/mo"
50 Commonwealth Ave APT 701, Boston, MA,2116," 2 beds / 2 baths / 1,250 sqft","$4,800/mo"
Huntington Ave, Boston, MA,2116, 1 bed / 1.5 baths / 900 sqft ,"$4,500/mo"
285 Columbus Ave UNIT 602, Boston, MA,2116," 2 beds / 2 baths / 1,131 sqft","$995,000 "
1 Charles St S UNIT PH103, Boston, MA,2116," 2 beds / 3 baths / 1,866 sqft","$3,195,000 "
257 Commonwealth Ave APT 2, Boston, MA,2116," 2 beds / 2 baths / 1,425 sqft","$4,500/mo"
136 Beacon St APT 9, Boston, MA,2116," 3 beds / 2 baths / 2,210 sqft","$2,775,000 "
W Newton St, Boston, MA,2116, 1 bed / 1 bath ,"$2,100/mo"
114 Union Park St # 3, Boston, MA,2118," 2 beds / 1 bath / 1,000 sqft","$2,700/mo"
83 W Brookline St # 1, Boston, MA,2118," 2 beds / 1.5 baths / 1,135 sqft","$3,200/mo"
682 Tremont St # 3, Boston, MA,2118, 2 beds / 1 bath / 785 sqft ,"$724,000 "
5 Rutland Sq, Boston, MA,2118," 4 beds / 4 baths / 4,250 sqft","$3,300,000 "
Columbus Ave, Boston, MA,2118, 2 beds / 1 bath ,"$3,050/mo"
748 Tremont St APT 3, Boston, MA,2118, 1 bed / 1 bath / 890 sqft ,"$595,000 "
66 Waltham St APT 44, Boston, MA,2118, 2 beds / 1 bath / 943 sqft ,"$725,000 "
38 Upton St # 4, Boston, MA,2118," 3 beds / 2.5 baths / 1,784 sqft","$1,995,000 "
81 E Brookline St APT 1, Boston, MA,2118, 1 bed / 1 bath / 469 sqft ,"$1,600/mo"
25 E Springfield St UNIT 3, Roxbury, MA,2118," 2 beds / 2 baths / 1,300 sqft","$895,000 "
474 Shawmut Ave APT 2, Boston, MA,2118, 2 beds / 1 bath / 873 sqft ,"$649,000 "
45 Bradford St # 45, Boston, MA,2118," 3 beds / 3 baths / 1,750 sqft","$1,575,000 "
1750-1752 Washington St UNIT 4, BOSTON, MA,2118, 2 beds / 1 bath / 700 sqft ,$2450/mo
34 Plympton St, Boston, MA,2118," 7 beds / 4 baths / 6,200 sqft","$2,300,000 "
254 Shawmut Ave # 254, Boston, MA,2118," 4 beds / 3 baths / 3,100 sqft","$2,995,000 "
182 W Brookline St APT 1, Boston, MA,2118," 3 beds / 2 baths / 1,600 sqft","$3,275/mo"
E Berkeley St, Boston, MA,2118, 2 beds / 1 bath ,"$2,850/mo"
3003 Washington St APT 2, Boston, MA,2119, 1 bed / 1 bath ,"$1,400/mo"
Centre St, Boston, MA,2119, 3 beds / 1 bath ,"$2,300/mo"
Kenilworth St, Boston, MA,2119, 2 beds / 1 bath ,"$1,600/mo"
Marcella St, Boston, MA,2119," 1 bed / 1 bath / 1,200 sqft","$1,350/mo"
Centre St, Boston, MA,2119, 1 bed / 2 baths / 730 sqft ,"$1,950/mo"
Centre St, Boston, MA,2119," 2 beds / 2 baths / 1,030 sqft","$2,750/mo"
Centre St, Boston, MA,2119," 3 beds / 2 baths / 1,230 sqft","$3,175/mo"
Lambert St, Boston Fort Hill, MA,2119, 4 beds / 1 bath ,"$2,400/mo"
Washington St, Roxbury, MA,2119, 1 bed / 1 bath ,"$1,400/mo"
20 Walnut Park UNIT 2, Roxbury, MA,2119," 3 beds / 2 baths / 1,484 sqft","$339,000 "
Marcella St, Roxbury, MA,2119, 1 bed / 1 bath ,"$1,350/mo"
Washington St, Roxbury, MA,2119, 1 bed / 1 bath / 600 sqft ,"$1,600/mo"
44 Alleghany St # 1F, Boston, MA,2120, 6 beds / 2 baths ,"$5,600/mo"
993 Tremont St APT 3, Roxbury Crossing, MA,2120, 1 bed / 1 bath / 674 sqft ,"2,500/mo"
154 Fisher Ave UNIT A, Roxbury Crossing, MA,2120," 1 bed / 1 bath / 1,060 sqft","$315,000 "
Calumet St, Roxbury Crossing, MA,2120, 3 beds / 1 bath ,"$2,800/mo"
Sewall St, Boston, MA,2120," 6 beds / 4 baths / 2,800 sqft","$6,000/mo"
Parker Hill Ave, Roxbury Crossing, MA,2120, 4 beds / 2 baths ,"$4,600/mo"
Hillside St, Roxbury Crossing, MA,2120, 2 beds / 1 bath ,"$2,500/mo"
Hillside St, Roxbury Crossing, MA,2120," 3 beds / 1 bath / 1,000 sqft","$3,600/mo"
43 Elmont St, Dorchester, MA,2121," 4 beds / 2 baths / 2,661 sqft",
42-44 Hutchings St UNIT 1, BOSTON, MA,2121," 3 beds / 1 bath / 1,394 sqft","$149,800 "
63 Oldfields Rd, Dorchester, MA,2121," 6 beds / 3 baths / 2,820 sqft","$385,000 "
5-7 Weldon St, Dorchester, MA,2121," 6 beds / 2 baths / 2,900 sqft","$359,900 "
126 Greenwood St, Dorchester, MA,2121," 9 beds / 3 baths / 3,492 sqft","$459,000 "
120 Greenwood St, Dorchester, MA,2121," 6 beds / 3 baths / 3,789 sqft","$519,999 "
23 Gaston St, Dorchester, MA,2121," 8 beds / 3 baths / 3,345 sqft","$375,000 "
Fowler St, Dorchester, MA,2121," 2 beds / 1 bath / 3,960 sqft","$1,400/mo"
Ruthven St, Dorchester, MA,2121, 3 beds / 1 bath ,"$1,750/mo"
45 Bullard St, Dorchester, MA,2121," 9 beds / 3 baths / 4,601 sqft","$429,000 "
39 Howland St # 1, Dorchester, MA,2121," 2 beds / 1 bath / 1,350 sqft","$1,700/mo"
24 Holborn St # 1A, Dorchester, MA,2121," 3 beds / 1 bath / 1,200 sqft","$204,900 "
44 Quincy St APT 1, Dorchester, MA,2121," 4 beds / 1 bath / 1,563 sqft","$1,700/mo"
30 Wolcott St, Dorchester, MA,2121," 8 beds / 4 baths / 3,633 sqft","$549,000 "
Elm Hill Ave, Boston, MA,2121," 2 beds / 2 baths / 1,465 sqft ","1,750/mo"
Howland St, Boston, MA,2121," 6 beds / 3 baths / 2,820 sqft ","2,200/mo"
63 Oldfields Rd, Boston, MA,2121," 7 beds / 3 baths / 3,600 sqft ","$385,000 "
Homestead St, Dorchester, MA,2121," 3 beds / 1 bath / 1,000 sqft ","2,100/mo"
10 Intervale St, Dorchester, MA,2121," 4 beds / 1 bath / 1,450 sqft ","385,000"
79 Ellington St # 3, Boston, MA,2121," 6 beds / 3.5 baths / 3,449 sqft ","529,000"
Elm Hill Ave, Dorchester, MA,2121," 8 beds / 3 baths / 3,329 sqft ",
122 Homestead St # 1, Boston, MA,2121," 11 beds / 3 baths / 3,885 sqft ","468,000"
70 Brookledge St, Dorchester, MA,2121," 6 beds / 3 baths / 3,303 sqft ","799,000"
207 Quincy St, Dorchester, MA,2121," 6 beds / 3 baths / 2,288 sqft ","$449,000 "
79 Topliff St, Dorchester, MA,2122," 3 beds / 1 bath / 1,250 sqft ","$509,000 "
29 Chelmsford St UNIT 2, Dorchester, MA,2122," 4 beds / 2 baths / 1,900 sqft ","579,000"
27 Mount Ida Rd, Dorchester, MA,2122," 2 beds / 1 bath / 1,200 sqft ","$479,000 "
15-17 Woodfield St, BOSTON, MA,2122," 3 beds / 1 bath / 1,100 sqft ","$735,000 "
33 King St UNIT 2, Dorchester, MA,2122," 3 beds / 3 baths / 1,900 sqft ",
Draper St, Dorchester, MA,2122," 2 beds / 2 baths / 1,275 sqft ","310,000"
15 Mount Ida Rd # 3, Boston, MA,2122," 5 beds / 2 baths / 1,800 sqft ","1,800/mo"
10 Tolman St # 3, Dorchester, MA,2122," 2 beds / 1 bath / 99,999 sqft ",
20 Mckone St # 1, Dorchester, MA,2122," 2 beds / 2.5 baths / 1,242 sqft ","349,000"
82 Homes Ave # 2, Dorchester, MA,2122," 4 beds / 2 baths / 1,800 sqft ","299,000"
Mill St, Dorchester, MA,2122," 9 beds / 3 baths / 3,046 sqft ",
Victory Rd, Boston, MA,2122," 3 beds / 3 baths / 2,180 sqft ","3,000/mo"
0 Queen St # 1, Boston, MA,2122," 5 beds / 3 baths / 3,482 sqft ","$579,000 "
135 Draper St # 1, Dorchester, MA,2122," 5 beds / 2 baths / 2,236 sqft ",
68 Percival St # 3, Boston, MA,2122," 4 beds / 3 baths / 2,604 sqft ","1,650/mo"
38 Dix St UNIT 1, Dorchester, MA,2122," 5 beds / 1.1 baths / 1,714 sqft ","529,000"
37 Daly St # 1, Boston, MA,2122," 3 beds / 1 bath / 1,414 sqft ","659,000"
45 Coffey St # 4, Boston, MA,2122," 4 beds / 3 baths / 2,340 sqft ","$469,000 "
40-12 Victory Rd # 2, Boston, MA,2122," 4 beds / 2 baths / 1,380 sqft ","2,950/mo"
27 Flavia St # 2, Boston, MA,2122," 3 beds / 1 bath / 1,170 sqft ","1,650/mo"
135 Neponset Ave APT 46, Dorchester, MA,2122," 6 beds / 2 baths / 4,054 sqft ",
183-185A Massachusetts Ave UNIT 402, BOSTON, MA,2115," 3 beds / 2.5 baths / 1,100 sqft ","310,000"
56 Van Winkle St UNIT 56, Dorchester Center, MA,2124," 4 beds / 1.5 baths / 1,200 sqft ","$299,000 "
